,Wikipedia Movie ID,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,23890098,0.545,0.508,0.0,0.0,0.514,0.0,0.578,0.656
1,31186339,21.194,12.817,8.796,28.742,13.018,16.055,7.102,17.189
2,20663735,12.641,6.514,3.917,14.27,10.557,11.749,3.398,17.851
3,2231378,10.029,14.45,3.774,11.866,42.855000000000004,8.775,6.2170000000000005,14.474
4,595909,6.694,7.516,2.769,7.93,8.273,8.365,2.32,15.985
5,5272176,5.673,1.9220000000000002,0.578,9.231,2.516,5.219,1.055,7.774
6,1952976,2.301,8.248,4.08,7.114,13.806000000000001,7.7540000000000004,3.1870000000000003,18.05
7,24225279,6.2170000000000005,18.633,2.055,7.513,18.516,8.555,2.7729999999999997,21.709
8,2462689,7.695,12.736,6.171,9.854,8.068,7.737,3.492,8.718
9,20532852,0.9869999999999999,2.376,2.836,2.9210000000000003,0.469,0.484,0.656,0.8280000000000001
10,15401493,5.181,9.790000000000001,3.423,2.818,13.008000000000001,2.88,2.515,18.228
11,18188932,2.08,1.687,1.337,4.741,3.648,2.452,0.0,2.4530000000000003
12,2940516,0.605,2.015,0.25,3.118,1.679,2.009,0.383,1.907
13,1335380,17.888,13.969,7.119,27.174,12.857,19.439,6.647,17.011
14,1480747,10.84,21.976,2.344,14.307,53.04,10.431,11.552,27.509
15,24448645,1.206,2.664,0.891,3.855,3.199,1.328,0.9299999999999999,1.164
16,15072401,0.656,3.0300000000000002,0.0,1.874,3.461,1.7970000000000002,1.814,2.946
17,4018288,1.563,3.235,0.914,5.1129999999999995,6.833,1.244,1.867,5.428
18,4596602,9.189,6.679,4.516,11.404,9.973,2.5540000000000003,3.2720000000000002,7.929
19,15224586,0.616,1.3980000000000001,0.445,2.286,4.096,4.252,0.445,5.821
20,15585766,1.964,1.657,0.406,5.6049999999999995,4.026,2.097,0.461,2.563
21,1760737,0.40599999999999997,4.638,2.2430000000000003,2.096,4.209,3.564,4.571,4.226
22,29062594,0.485,2.282,0.0,0.86,2.099,1.157,0.32,2.523
23,29326153,2.443,2.007,1.1640000000000001,3.16,2.388,2.0469999999999997,0.0,1.242
24,9252321,12.031,3.64,4.32,14.785,5.3420000000000005,13.439,1.5310000000000001,7.188000000000001
25,8388648,1.371,10.961,0.32,3.3850000000000002,16.163,4.019,5.884,18.187
26,10644072,30.615,33.815,21.155,49.474,47.048,36.405,16.194,51.452
27,13455076,0.261,3.001,0.25,1.333,3.504,0.509,1.375,5.8420000000000005
28,33269085,0.535,3.6950000000000003,1.766,0.0,4.179,0.009,1.172,5.875
29,2254491,2.271,7.313,1.416,2.577,7.128,2.664,2.593,9.143
30,447194,9.645,6.593,4.703,11.215,8.004,9.772,0.9369999999999999,9.336
31,24165951,0.938,0.0,0.539,0.844,0.0,1.312,0.0,0.0
32,18549958,1.322,2.758,0.297,1.0110000000000001,3.2,0.656,1.633,4.765
33,12978934,2.212,6.593999999999999,1.3130000000000002,7.159,5.728,5.25,3.327,8.321
34,8471210,7.122,4.1240000000000006,6.738,14.677,4.487,11.721,4.257,10.826
35,1925869,10.545,11.575,1.296,14.25,6.942,7.064,3.368,11.969
36,10799612,3.3659999999999997,2.748,2.492,6.467,8.085,7.151,1.422,9.850999999999999
37,3150865,1.948,4.231,0.789,2.204,2.999,0.245,2.258,4.757
38,20591333,0.379,0.0,0.0,0.761,1.5310000000000001,0.5,0.0,0.461
39,28238240,0.333,0.0,0.391,0.547,0.515,0.0,1.109,0.641
40,5414895,29.291,23.363,9.57,30.431,22.402,13.333,10.463,42.693
41,17124781,13.731,10.108,9.827,20.381,8.246,13.801,6.07,10.414
42,5425205,9.35,9.367,2.672,14.883,13.154,8.354,2.749,16.377
43,28207941,0.0,0.0,0.0,0.0,4.220000000000001,0.0,0.125,3.217
44,14330027,0.721,3.758,0.0,1.197,4.038,0.0,3.618,2.7569999999999997
45,4356664,0.567,2.5389999999999997,0.445,0.5780000000000001,4.482,1.694,1.3599999999999999,5.039
46,19174305,2.351,7.054,2.617,7.210999999999999,10.564,3.8449999999999998,2.25,10.212
47,33417831,0.0,4.163,0.0,1.577,3.319,0.016,0.148,3.601
48,2408359,2.23,5.428,2.092,1.767,6.148,1.063,1.539,4.569
