TSNE1,TSNE2,Labels
7.391193,43.36009,8
-43.691956,-3.792347,3
19.597153,-38.160957,9
-39.199642,-51.858124,2
49.663994,-12.719836,1
45.92377,24.426458,4
-12.607826,22.464434,3
-53.09824,58.640457,0
55.592125,-2.197863,1
-19.434578,33.20047,0
-3.7210453,63.535534,8
28.819975,47.694103,8
38.494404,32.26718,4
-24.142687,10.644423,3
-20.955969,33.780357,0
45.552917,25.175272,4
-68.95753,-5.1672907,6
76.11013,5.0571394,1
66.8725,-25.929651,1
79.29514,8.20077,1
-100.086845,1.9677105,6
59.293888,-19.218958,1
-25.07926,-4.804646,3
0.26884437,-9.566818,3
25.628168,-12.800143,5
7.472742,77.78461,8
-0.42425635,3.9669216,3
-0.7764322,-14.900175,3
105.08905,-17.121588,1
32.085148,68.611916,8
67.663956,2.573512,1
33.65353,30.342827,5
39.415066,46.75515,4
-10.618263,66.298584,8
13.782009,28.341402,8
-29.861849,61.894104,0
34.840763,16.213915,5
-29.237017,66.0706,0
-52.222378,13.725393,0
84.314926,11.740395,1
42.659428,2.8916342,5
-81.14087,4.1428013,6
-40.738964,-5.8193536,3
54.839317,-53.08454,9
53.60018,-17.38801,1
4.181677,-0.32669497,5
31.027952,-34.89533,9
-69.550514,-50.206005,2
24.163681,2.987497,5
28.912527,1.2238296,5
10.985623,36.96645,8
19.133104,61.04312,8
-6.9334064,-43.587254,7
-38.19125,17.621468,0
32.95003,21.632973,5
42.504505,25.880638,5
67.7281,-11.254704,1
-40.13669,-9.933879,3
-53.322792,-49.31008,2
-15.115375,-63.42023,7
-13.390484,-39.068108,7
64.94361,-11.508219,1
-20.903193,-13.569173,3
57.486584,-27.88603,9
-64.45507,-17.323904,2
87.08358,-22.624567,1
2.6966183,-36.298615,7
93.72959,24.333866,1
13.068523,8.588036,5
-82.74049,-7.5357027,6
-49.971046,1.7218486,6
-26.095514,-41.427013,7
77.83116,-3.8110094,1
67.2004,66.92524,4
-79.70215,6.3260875,6
95.18439,-0.9885356,1
45.829437,10.576355,5
-72.04569,-50.008522,2
-56.920353,-23.1572,2
22.401445,-42.365776,9
-87.14835,-9.625357,6
72.10554,2.1736858,1
-36.922527,-47.69871,7
-13.007898,-11.633125,3
-33.30154,9.567062,3
-98.84959,-17.082554,6
76.112854,60.287216,4
12.508877,-40.638145,7
17.215942,40.127075,8
31.918808,16.900988,5
13.801107,34.85736,8
-57.772476,7.044676,6
44.92674,53.321297,4
40.25513,7.73549,5
-30.835255,-15.996565,3
45.4444,-34.352512,9
22.7131,9.060289,5
13.232825,45.48769,8
48.087925,-48.42481,9
-34.800674,-30.397898,3
81.489914,43.649418,4
-16.055363,4.30903,3
-51.62722,15.441045,0
-52.759155,64.24093,0
-14.681214,-51.239574,7
4.6769342,-23.881435,7
-45.165524,8.828213,3
-75.44178,-26.56907,2
70.086075,22.33899,4
21.335773,37.312557,8
0.19647112,1.673566,3
-13.161742,-34.07718,7
-34.70578,53.063072,0
-1.9320686,-16.392244,3
-64.14604,-22.669497,2
-80.15811,22.356407,6
80.60006,-7.6990714,1
44.53357,78.141304,4
48.21685,-2.313303,5
-51.277042,-46.6611,2
22.546505,-20.131517,9
-32.244633,66.70518,0
-26.336994,-9.496396,3
45.289375,22.67736,5
-89.89157,13.044781,6
11.641913,-10.843223,5
-45.924988,-63.113422,2
65.99773,-26.505941,1
-86.78767,29.388334,6
1.051738,39.10684,8
-50.57537,-55.55267,2
71.68238,53.883327,4
-101.85586,-2.2163107,6
1.2548274,-29.84461,7
-68.744644,-43.50479,2
46.868122,44.654125,4
15.936485,12.492408,5
65.1141,-46.94444,9
-57.35972,29.118977,0
90.62718,11.435206,1
25.708048,-31.390594,9
0.4442063,32.61479,8
80.799736,17.706789,1
-68.72758,-10.975288,6
-63.382103,4.2115664,6
32.019363,-48.49059,9
56.706398,14.9082,1
-69.8473,34.72601,0
-29.053272,-7.0683894,3
-8.901528,7.2349973,3
70.8825,-14.969253,1
39.85194,12.0182,5
-76.14824,-58.711884,2
48.765896,12.314683,5
42.17195,-36.770412,9
-41.831947,-48.43787,2
-28.799414,-63.759304,7
37.686478,-29.645021,9
50.24522,72.310585,4
65.75233,-47.57379,9
9.497755,-55.015392,7
-53.38791,-19.151297,2
-12.590338,-12.872076,3
-86.103035,33.83429,6
60.040092,58.658073,4
7.685083,-39.46019,7
7.8766866,-45.044346,7
49.52544,48.717316,4
7.796077,-36.67585,7
9.41132,-31.551275,7
63.82142,41.836575,4
90.12767,36.42783,4
-51.609245,-8.314669,6
61.326134,12.879815,1
-91.87929,-1.6533433,6
46.37757,-13.043497,5
-46.430668,22.462297,0
42.964703,-60.357697,9
-77.82937,-7.4210835,6
66.87289,-2.5960062,1
42.543026,2.5307255,5
82.45456,52.06977,4
-38.89679,4.419371,3
-23.90267,-50.980885,7
49.70378,-14.339305,1
-79.955055,-34.486927,2
-17.8115,-26.727303,3
5.670486,28.392231,8
2.276012,37.24945,8
-14.358058,-20.97372,3
-32.797543,52.66612,0
-31.399593,-1.190031,3
0.13504694,-50.395836,7
-12.998737,-47.21812,7
18.208689,-31.428804,9
65.56072,64.4206,4
24.617775,60.270065,8
71.783875,-26.904213,1
62.09407,-6.1049857,1
52.939583,10.457571,5
11.524782,-45.74741,7
77.35932,23.207102,4
-35.69761,-11.221327,3
-65.45987,-28.154062,2
-76.50055,20.06808,6
39.31244,-1.7337437,5
22.940899,-26.648933,9
39.453346,50.96661,4
-77.2989,36.82333,6
-29.51088,9.515656,3
44.271057,65.63176,4
86.12937,11.81348,1
-44.94214,-38.95904,2
-4.9543285,57.764706,8
46.435333,69.38598,4
66.75974,-17.759233,1
-48.528236,-10.722761,3
-53.802834,-38.024628,2
-8.847873,-75.30965,7
-18.983967,-13.820935,3
-6.7314954,-54.587276,7
3.569401,44.018257,8
9.884268,-1.5083542,5
-2.4403949,-8.178556,3
-11.188015,-27.233856,7
58.394627,-20.75638,1
17.761904,-5.264805,5
58.23497,-18.177303,1
9.575675,-78.21643,7
86.34125,50.41232,4
41.494648,50.871227,4
-13.994351,29.712221,0
10.811057,31.137798,8
-8.329558,-49.03867,7
41.18763,10.305424,5
44.628613,32.611332,4
-51.563873,-10.617732,6
87.4176,-34.37613,1
20.497255,-8.348356,5
2.6288016,32.533577,8
-17.059511,47.159237,8
-37.82134,-50.509773,7
-99.796234,1.9265807,6
30.008703,39.98142,8
68.41308,42.680416,4
-62.849533,-18.87072,2
-64.81459,-42.9536,2
43.51692,-54.644936,9
-26.86165,73.051895,0
72.35377,35.279793,4
-6.510869,-6.426258,3
-8.780855,-32.05248,7
-10.251973,-21.833796,3
-36.292465,42.807583,0
-45.934917,-38.17188,2
40.84635,41.467026,4
-32.32819,-54.211716,7
2.837015,26.06324,8
-1.8661457,-61.09427,7
46.369923,3.625017,5
81.60541,25.323936,4
52.18949,-27.973175,9
-14.333855,-20.760962,3
41.012325,-2.3085036,5
-80.7494,25.351912,6
-1.762488,50.07291,8
-7.7387214,47.909264,8
42.675316,51.08292,4
-11.109529,31.633318,8
56.36231,-6.797081,1
-66.42484,-36.100292,2
19.61633,58.13951,8
-84.76047,-3.7745607,6
42.509357,-57.765015,9
-63.467613,-5.2095647,6
-75.74359,33.28063,6
55.711636,-26.453012,9
3.2171724,7.9267917,5
-27.173033,-3.2364218,3
-2.038382,38.243877,8
-61.194542,6.725846,6
-28.529661,30.500814,0
52.495365,16.631474,5
-38.24097,40.359024,0
-10.967105,-19.115067,3
-36.380947,-44.5983,7
-16.361805,13.206311,3
42.22978,-61.41182,9
-68.57959,-37.48166,2
-60.200615,-32.254795,2
24.708508,21.873636,5
41.49383,38.895805,4
-39.528034,-10.574206,3
4.5903773,-27.211672,7
5.926377,19.731647,5
-20.681273,52.770454,0
81.50052,50.041035,4
-82.87827,-16.811937,6
5.1524577,-26.991987,7
-50.9096,12.551266,0
-76.53586,-20.6304,2
9.02346,58.19735,8
78.34898,35.37887,4
-97.420845,8.178534,6
2.4452531,-21.37892,3
-0.05594141,2.085765,3
-57.55235,17.896444,6
-30.996517,44.51518,0
-12.888359,-26.26191,3
89.767166,2.6901982,1
32.843765,32.151096,5
-30.314146,25.1227,0
49.78329,-6.6343446,1
-42.610268,31.78385,0
34.37744,-35.882862,9
23.647594,-35.2621,9
45.27035,8.865526,5
-30.582352,75.01598,0
-88.20105,-52.39374,2
88.3937,4.757874,1
30.20405,2.9503775,5
1.6046863,72.40323,8
20.889568,15.35281,5
-99.11258,-5.995034,6
-0.46121714,36.08624,8
-36.482857,-17.416622,3
34.35691,-39.87867,9
-8.708106,23.188143,8
48.244022,13.225842,5
-28.36058,-60.033833,7
7.6861053,-66.171074,7
81.09593,9.752016,1
-56.946526,30.86294,0
75.87858,12.009442,1
7.697373,-10.371912,5
-56.971355,-28.623774,2
-34.14045,-22.132898,3
-81.198746,9.970632,6
-25.556131,8.09965,3
-98.126564,4.801153,6
50.687847,-63.309002,9
45.998283,-54.659763,9
-41.038063,-49.765476,2
28.58079,-45.876095,9
3.771007,33.814785,8
47.042603,-60.488228,9
-78.41417,-14.08446,6
19.335268,23.15679,5
-7.0550475,2.4218583,3
