date,joy,annoyance,realization,admiration,surprise,optimism,disappointment,sadness,fear,amusement,anger,approval,remorse,desire
1928,7.0,5.0,17.0,5.0,3.0,2.0,5.0,9.0,2.0,1.0,3.0,3.0,1.0,1.0
1929,2.0,3.0,30.0,9.0,6.0,2.0,3.0,11.0,2.0,2.0,3.0,4.0,0.0,1.0
1930,3.0,2.0,24.0,3.0,4.0,3.0,5.0,6.0,10.0,2.0,1.0,2.0,0.0,0.0
1931,7.0,8.0,25.0,7.0,10.0,4.0,6.0,24.0,9.0,3.0,4.0,3.0,0.0,3.0
1932,7.0,6.0,52.0,8.0,15.0,5.0,7.0,26.0,13.0,3.0,9.0,3.0,1.0,1.0
1933,5.0,7.0,34.0,11.0,8.0,4.0,9.0,18.0,9.0,4.0,7.0,4.0,1.0,0.0
1934,5.0,6.0,28.0,6.0,10.0,3.0,9.0,22.0,11.0,2.0,1.0,5.0,0.0,1.0
1935,4.0,7.0,40.0,10.0,9.0,5.0,9.0,29.0,20.0,4.0,3.0,9.0,2.0,1.0
1936,6.0,5.0,21.0,6.0,5.0,1.0,6.0,10.0,10.0,1.0,2.0,3.0,1.0,1.0
1937,8.0,6.0,45.0,7.0,6.0,4.0,9.0,18.0,8.0,5.0,7.0,3.0,1.0,3.0
1938,8.0,6.0,30.0,10.0,10.0,3.0,7.0,21.0,8.0,2.0,8.0,8.0,2.0,2.0
1939,1.0,10.0,40.0,6.0,5.0,4.0,8.0,17.0,11.0,2.0,10.0,1.0,0.0,1.0
1940,6.0,6.0,28.0,10.0,5.0,2.0,5.0,23.0,14.0,3.0,5.0,2.0,1.0,1.0
1941,5.0,6.0,47.0,8.0,12.0,6.0,12.0,29.0,6.0,2.0,1.0,5.0,1.0,0.0
1942,9.0,12.0,50.0,17.0,9.0,2.0,8.0,27.0,15.0,1.0,5.0,6.0,0.0,0.0
1943,7.0,6.0,28.0,17.0,4.0,2.0,7.0,19.0,10.0,5.0,10.0,5.0,1.0,0.0
1944,7.0,9.0,38.0,7.0,7.0,2.0,4.0,23.0,7.0,2.0,8.0,4.0,0.0,3.0
1945,4.0,7.0,37.0,7.0,11.0,1.0,8.0,18.0,12.0,4.0,5.0,3.0,0.0,2.0
1946,5.0,5.0,24.0,7.0,4.0,1.0,1.0,12.0,8.0,2.0,2.0,3.0,0.0,0.0
1947,12.0,9.0,45.0,15.0,10.0,5.0,11.0,13.0,9.0,3.0,5.0,2.0,0.0,0.0
1948,8.0,7.0,55.0,10.0,8.0,1.0,9.0,14.0,14.0,2.0,7.0,11.0,0.0,1.0
1949,5.0,6.0,22.0,6.0,6.0,3.0,8.0,5.0,10.0,2.0,8.0,3.0,0.0,0.0
1950,9.0,7.0,43.0,8.0,10.0,1.0,5.0,12.0,8.0,5.0,8.0,5.0,3.0,0.0
1951,6.0,8.0,37.0,7.0,4.0,4.0,15.0,23.0,11.0,0.0,10.0,5.0,0.0,0.0
1952,4.0,8.0,35.0,12.0,5.0,2.0,9.0,17.0,7.0,0.0,7.0,2.0,1.0,1.0
1953,9.0,17.0,54.0,14.0,10.0,5.0,12.0,25.0,16.0,5.0,12.0,4.0,3.0,2.0
1954,2.0,7.0,41.0,9.0,14.0,0.0,6.0,11.0,9.0,2.0,8.0,6.0,0.0,1.0
1955,9.0,12.0,53.0,13.0,9.0,8.0,7.0,26.0,18.0,1.0,12.0,11.0,0.0,2.0
1956,3.0,7.0,28.0,6.0,5.0,3.0,6.0,15.0,8.0,1.0,4.0,6.0,2.0,0.0
1957,5.0,9.0,52.0,10.0,7.0,5.0,5.0,17.0,10.0,3.0,10.0,6.0,1.0,2.0
1958,10.0,15.0,45.0,12.0,7.0,2.0,14.0,16.0,13.0,4.0,8.0,2.0,1.0,1.0
1959,5.0,14.0,46.0,13.0,7.0,7.0,8.0,17.0,9.0,3.0,9.0,6.0,2.0,1.0
